"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000223315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254612",29,15,58,32,19,24,23,27,14,19,51,42,39,14,17,28,20,37,36,29
"ENSG00000273415",4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0
"ENSG00000272575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134954",6934,10494,7084,12680,2377,6195,5320,11864,9118,8720,11610,8646,15662,12438,8203,5701,7632,10429,8988,8850
"ENSG00000254588",11,0,0,0,0,0,0,2,9,0,6,4,0,24,0,1,3,0,0,2
"ENSG00000270160",0,0,2,0,0,0,0,9,12,2,4,8,8,15,0,0,6,0,2,0
"ENSG00000255465",1,0,0,0,0,0,0,6,2,0,3,4,8,32,6,0,2,0,0,2
"ENSG00000245008",0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000254703",15,25,20,54,2,17,19,37,39,27,39,14,36,48,29,39,27,48,42,33
"ENSG00000151702",1113,2117,1527,2911,426,1473,1041,2689,2237,1823,2277,2138,2735,3395,1613,1699,2030,1993,2168,1733
"ENSG00000151704",175,128,5,18,4,17,16,41,280,11,20,42,73,38,8,11,16,12,9,13
"ENSG00000255369",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000120457",417,353,187,216,14,48,58,166,327,70,152,110,399,267,17,17,108,107,137,41
"ENSG00000174370",491,156,363,170,78,70,85,314,434,162,166,146,221,332,186,89,122,151,91,33
"ENSG00000120471",8,17,6,2,1,2,10,11,23,2,15,8,13,6,2,7,0,0,2,4
"ENSG00000134909",1684,1454,1504,2374,1283,1543,1472,1757,2081,1812,2338,1122,4068,2188,1435,1548,1208,1617,1343,1862
"ENSG00000212597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206847",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
"ENSG00000199260",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255259",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ENSG00000043039",38,40,32,24,10,14,7,14,70,30,12,35,54,12,10,20,16,25,14,15
"ENSG00000240121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000151715",670,635,959,501,247,593,759,1111,535,635,574,319,734,208,1469,1605,219,822,854,675
"ENSG00000170322",3854,3636,7589,6126,5701,3921,4081,7523,5450,5358,8185,3090,6203,4956,7997,5657,2960,5529,4491,4154
"ENSG00000170325",811,832,824,1475,922,583,741,1190,1301,1020,696,538,1818,1010,885,1217,667,1017,1018,908
"ENSG00000233220",2,4,6,10,17,6,4,23,12,10,0,4,31,6,20,8,6,20,8,8
"ENSG00000255057",3,4,0,0,0,4,0,9,2,0,8,2,2,0,4,8,2,0,0,0
"ENSG00000255262",1,4,4,4,0,2,4,0,1,0,0,0,7,2,7,6,0,1,16,0
"ENSG00000255535",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ENSG00000267981",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000084234",43968,59602,43437,48254,87368,46638,35906,72891,50727,54391,35779,57006,78939,23279,86132,74700,32842,78773,65763,78617
"ENSG00000215565",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0
"ENSG00000244451",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0
"ENSG00000149418",4396,4603,6632,6902,4197,2958,3856,10284,7480,6715,3661,4345,5662,1466,12294,7380,3037,8802,8428,7142
"ENSG00000196323",2481,2458,5092,4028,2769,3175,2673,4201,4115,3554,4757,2201,6728,3309,3592,4539,2959,3805,3094,3397
"ENSG00000255358",0,0,1,6,0,2,0,0,2,2,0,0,9,0,1,1,1,1,2,3
"ENSG00000255220",2,0,2,1,2,4,0,4,2,0,1,0,1,4,6,0,0,5,2,0
"ENSG00000272412",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175773",15,12,13,6,37,22,13,22,26,12,14,12,21,10,45,29,14,17,14,7
"ENSG00000134917",81,31,14,18,88,52,60,39,136,25,105,65,169,167,35,60,108,84,34,132
