"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000221634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000259195",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"ENSG00000252931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166748",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000259734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140538",692,652,184,864,345,629,385,255,316,648,110,1091,238,1522,474,754,507,167,830,481
"ENSG00000259183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260305",4,4,0,2,2,0,0,1,1,5,0,6,0,6,2,3,1,0,5,1
"ENSG00000259494",203,94,189,204,268,284,340,172,234,201,212,207,55,233,291,399,407,312,190,375
"ENSG00000181991",1061,677,2058,1276,1670,1567,2311,881,1884,678,1236,1248,302,1374,2328,1639,2452,2536,1455,3048
"ENSG00000271997",405,237,226,356,441,366,348,246,245,394,228,390,124,481,177,786,269,183,260,224
"ENSG00000173867",7,13,8,11,6,7,6,9,10,22,1,3,1,13,22,12,8,0,3,6
"ENSG00000140543",393,399,519,446,536,527,553,320,679,527,379,506,131,416,439,801,540,588,358,440
"ENSG00000221391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259569",1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,0
"ENSG00000249487",28,68,176,102,162,101,85,45,305,161,20,136,16,96,80,116,27,39,52,45
"ENSG00000221630",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"ENSG00000207703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181026",2083,644,1903,1699,1785,1908,1950,907,1069,1037,2326,1271,461,1724,2863,2733,2873,2214,1368,2188
"ENSG00000172183",647,959,2109,3227,920,1808,993,1016,1268,1082,2380,859,968,740,2223,4932,932,1117,1456,1204
"ENSG00000259676",2,0,0,0,0,0,1,0,0,0,0,0,1,14,2,0,0,0,1,2
"ENSG00000157766",64,120,74,13,146,69,28,153,36,24,9,79,67,1303,103,19,27,38,127,132
"ENSG00000140511",2241,536,103,2823,1048,3695,331,2472,622,1131,936,748,490,3041,709,9435,672,643,1071,567
"ENSG00000140545",9865,7231,2472,5089,6088,10023,10441,9371,8146,7112,7632,9725,4176,21942,7183,9541,11542,11190,7904,11880
"ENSG00000259350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259489",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000265866",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000261549",2,1,0,0,2,0,0,3,2,2,0,0,0,2,0,1,0,0,0,0
"ENSG00000260275",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260123",9,10,0,2,8,9,4,10,7,7,2,3,2,38,1,9,2,10,9,5
"ENSG00000261407",7,4,4,2,2,1,1,1,3,0,2,6,0,2,0,3,2,0,4,0
"ENSG00000140526",2302,2602,3340,2420,3265,3450,3921,2629,5376,1851,2968,3868,936,3145,3795,4769,4606,4870,2070,4276
"ENSG00000239151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259699",3,3,13,12,6,15,4,4,0,2,4,3,3,5,8,12,2,0,0,10
"ENSG00000140522",0,1,4,0,0,1,0,0,2,0,0,0,2,4,4,1,0,2,1,2
"ENSG00000140525",247,167,153,1084,159,658,165,138,196,217,373,293,270,549,249,1598,237,337,262,277
"ENSG00000140521",3091,2536,3043,3922,3190,6409,3681,3762,2809,2520,3816,3891,1311,4609,5585,9487,3833,4226,3517,3749
"ENSG00000261441",2,9,11,10,9,2,4,0,8,4,4,8,0,2,3,16,13,4,0,15
"ENSG00000255571",13,68,3,43,139,86,98,118,129,140,230,141,23,29,271,256,236,111,53,69
"ENSG00000207819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140519",22,22,38,29,25,2,3,63,13,68,36,9,2,27,36,50,224,69,85,49
"ENSG00000259218",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000261478",3,0,1,5,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0
"ENSG00000259713",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000140534",215,100,88,312,261,361,243,134,142,144,135,163,66,352,189,589,134,132,152,233
"ENSG00000259615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166813",1242,816,959,1046,1278,1563,1424,909,937,872,978,874,268,1741,1324,1412,1246,1239,953,1276
"ENSG00000166819",105,200,148,142,199,474,106,401,103,2469,138,598,136,847,175,330,443,431,240,921
"ENSG00000166821",383,317,591,417,758,662,884,418,983,1318,668,938,158,453,912,695,1122,1010,344,726
